No,MDA Name,Breakout Room,Room Category
1,Civil Registration Services (CRS),Room 1,High Impact & Large Registries
2,Ministry of Health (MoH),Room 1,High Impact & Large Registries
3,State Department for Immigration & Citizen Services,Room 1,High Impact & Large Registries
4,Public Service Commission,Room 1,High Impact & Large Registries
5,State Department of Correctional Services,Room 1,High Impact & Large Registries
6,State Department for Children Services,Room 1,High Impact & Large Registries
7,Department of Refugee Services,Room 1,High Impact & Large Registries
8,Internal Security and National Administration,Room 1,High Impact & Large Registries
9,State Law Office - Registrar of Marriages,Room 1,High Impact & Large Registries
10,Assets Recovery Agency,Room 2,"Coordination, Culture & Specialised Services"
11,Cabinet Office,Room 2,"Coordination, Culture & Specialised Services"
12,Culture and Heritage,Room 2,"Coordination, Culture & Specialised Services"
13,Government Spokesperson,Room 2,"Coordination, Culture & Specialised Services"
14,Kenya Broadcasting Corporation,Room 2,"Coordination, Culture & Specialised Services"
15,National Government Coordination,Room 2,"Coordination, Culture & Specialised Services"
16,Office of the Chief of Staff,Room 2,"Coordination, Culture & Specialised Services"
17,Office of the Head of Public Service (OHPS),Room 2,"Coordination, Culture & Specialised Services"
18,Sports and the Arts,Room 2,"Coordination, Culture & Specialised Services"
19,State Department for Special Programmes,Room 2,"Coordination, Culture & Specialised Services"
20,Youth Affairs,Room 2,"Coordination, Culture & Specialised Services"
21,State Department for Parliamentary Affairs,Room 2,"Coordination, Culture & Specialised Services"
22,Livestock and Food Authority,Room 3,"Policy, Economy & Foundational Systems"
23,Athi Water Works Development Agency,Room 3,"Policy, Economy & Foundational Systems"
24,Energy,Room 3,"Policy, Economy & Foundational Systems"
25,ICT Authority,Room 3,"Policy, Economy & Foundational Systems"
26,Kenya National Qualifications Authority,Room 3,"Policy, Economy & Foundational Systems"
27,"Micro, Small and Medium Enterprise Development",Room 3,"Policy, Economy & Foundational Systems"
28,National Commission For Science Technology and Innovation (NACOSTI),Room 3,"Policy, Economy & Foundational Systems"
29,National Environment Management Authority (NEMA),Room 3,"Policy, Economy & Foundational Systems"
30,State Department for ICT and the Digital Economy,Room 3,"Policy, Economy & Foundational Systems"
31,State Department for Broadcasting and Telecommunications,Room 3,"Policy, Economy & Foundational Systems"
32,Government Press,Room 3,"Policy, Economy & Foundational Systems"
33,TVET,Room 3,"Policy, Economy & Foundational Systems"
34,State Department for Co-operatives,Room 3,"Policy, Economy & Foundational Systems"
35,State Department for Economic Planning,Room 3,"Policy, Economy & Foundational Systems"
36,State Department for Livestock Development (SDLD),Room 3,"Policy, Economy & Foundational Systems"
